LocationID,zone,borough,centroid_x_ft,centroid_y_ft
1,Newark Airport,EWR,935996.8210159661,191376.74953077384
2,Jamaica Bay,Queens,1031085.7186035374,164018.75440324217
3,Allerton/Pelham Gardens,Bronx,1026452.6168738299,254265.47865866212
4,Alphabet City,Manhattan,990633.980643454,202959.78239162272
5,Arden Heights,Staten Island,931871.3700679863,140681.35137597052
6,Arrochar/Fort Wadsworth,Staten Island,964319.7354472743,157998.93561179066
7,Astoria,Queens,1006496.6791592154,216719.21816878585
8,Astoria Park,Queens,1005551.5711892723,222936.08755409895
9,Auburndale,Queens,1043002.6774236618,212969.84901352387
10,Baisley Park,Queens,1042223.6050733553,186706.4964693485
11,Bath Beach,Brooklyn,982170.7832338612,159429.31688369717
12,Battery Park,Manhattan,979934.7306241285,195378.97286201795
13,Battery Park City,Manhattan,979792.3310291712,198691.5254375643
14,Bay Ridge,Brooklyn,975952.0350821507,166921.55042210873
15,Bay Terrace/Fort Totten,Queens,1043521.3830458715,224738.61297563725
16,Bayside,Queens,1047016.7843295918,217243.76049606185
17,Bedford,Brooklyn,998142.2060776302,191215.06835893082
18,Bedford Park,Bronx,1014623.3272751187,255416.74215271653
19,Bellerose,Queens,1060002.7496100252,207352.35251645694
20,Belmont,Bronx,1015821.8614533176,251810.3035125686
21,Bensonhurst East,Brooklyn,988821.3915778414,158393.65778606271
22,Bensonhurst West,Brooklyn,985566.4176545576,162323.82872362653
23,Bloomfield/Emerson Hill,Staten Island,936800.3814230713,160268.1237133759
24,Bloomingdale,Manhattan,993807.2716568436,231458.37605564596
25,Boerum Hill,Brooklyn,988101.2213236089,189071.57913887856
26,Borough Park,Brooklyn,987397.4626665404,169148.40746902878
27,Breezy Point/Fort Tilden/Riis Beach,Queens,1010116.0525896281,142998.09710665967
28,Briarwood/Jamaica Hills,Queens,1037276.4502600436,198588.18036388044
29,Brighton Beach,Brooklyn,995023.0950079763,150924.27687796942
30,Broad Channel,Queens,1033697.3819388201,159266.086883898
31,Bronx Park,Bronx,1018696.4006323083,251801.9133949028
32,Bronxdale,Bronx,1021618.2183907545,254085.68414692412
33,Brooklyn Heights,Brooklyn,985567.139363124,192774.49236614478
34,Brooklyn Navy Yard,Brooklyn,992238.7448749612,194618.425746842
35,Brownsville,Brooklyn,1009147.231498662,181203.32110486605
36,Bushwick North,Brooklyn,1007067.3784545371,194506.2645740358
37,Bushwick South,Brooklyn,1005813.837635649,192491.07254919922
38,Cambria Heights,Queens,1057581.8857307837,192354.3753416131
39,Canarsie,Brooklyn,1012077.4831518688,171746.34894035792
40,Carroll Gardens,Brooklyn,985371.6110287854,186726.9441734245
41,Central Harlem,Manhattan,997734.6452347699,232321.290547906
42,Central Harlem North,Manhattan,1000643.6322593023,237395.8715478468
43,Central Park,Manhattan,993789.0096979336,224356.21221153712
44,Charleston/Tottenville,Staten Island,919325.6707011324,130813.71730915437
45,Chinatown,Manhattan,984762.469283647,198844.63611675482
46,City Island,Bronx,1044565.4049708713,248697.32700027252
47,Claremont/Bathgate,Bronx,1011831.0102014282,246329.04426552195
48,Clinton East,Manhattan,987063.1857042019,216986.07003418246
49,Clinton Hill,Brooklyn,994687.7989069138,189923.67993122214
50,Clinton West,Manhattan,985597.534388399,218437.8202849423
51,Co-Op City,Bronx,1031744.9710899865,257736.03177246277
52,Cobble Hill,Brooklyn,985158.534258967,189441.98718223005
53,College Point,Queens,1027782.0265381613,223823.08273487745
54,Columbia Street,Brooklyn,983442.583193876,189642.16029751775
55,Coney Island,Brooklyn,987599.1763095325,149479.23529500866
56,Corona,Queens,1023365.1726116649,209422.5948555331
57,Corona,Queens,1024817.4538059536,213218.6349246163
58,Country Club,Bronx,1033945.7966960336,245891.95429257752
59,Crotona Park,Bronx,1013307.8668788526,244801.23991558113
60,Crotona Park East,Bronx,1015824.0717103629,243143.05780954452
61,Crown Heights North,Brooklyn,1001091.0141539834,185009.74769504237
62,Crown Heights South,Brooklyn,998457.1474759211,182119.28857438095
63,Cypress Hills,Brooklyn,1018038.5080192824,188441.23189403742
64,Douglaston,Queens,1056461.16922786,216496.53369825918
65,Downtown Brooklyn/MetroTech,Brooklyn,988108.3766457404,192606.94834799276
66,DUMBO/Vinegar Hill,Brooklyn,988214.5459857679,195128.66351502264
67,Dyker Heights,Brooklyn,980418.2778864935,165020.58539880379
68,East Chelsea,Manhattan,984272.7786345114,211948.9124004859
69,East Concourse/Concourse Village,Bronx,1007764.0856551026,242196.03761396327
70,East Elmhurst,Queens,1020706.7451350947,217413.8705812825
71,East Flatbush/Farragut,Brooklyn,1001465.156215957,174013.84430066613
72,East Flatbush/Remsen Village,Brooklyn,1005823.7039937356,176959.91492462545
73,East Flushing,Queens,1037640.2378121975,214077.620673775
74,East Harlem North,Manhattan,1001596.4821997061,231170.7231351315
75,East Harlem South,Manhattan,999272.1113850608,227103.75962498758
76,East New York,Brooklyn,1018425.3957702701,180096.55428265443
77,East New York/Pennsylvania Avenue,Brooklyn,1013278.1286527175,182139.0472946045
78,East Tremont,Bronx,1015923.650931945,247139.97024597568
79,East Village,Manhattan,988147.6579915716,204368.50187544298
80,East Williamsburg,Brooklyn,1001771.884299161,199911.28634480273
81,Eastchester,Bronx,1029422.4201395286,260268.37646995045
82,Elmhurst,Queens,1018302.5342878957,208718.589250147
83,Elmhurst/Maspeth,Queens,1014131.0479557563,208286.31274526237
84,Eltingville/Annadale/Prince's Bay,Staten Island,932076.4501930005,131946.88658335293
85,Erasmus,Brooklyn,997674.7812849191,174677.62359667037
